date,currency,rate
2020-03-01,EUR,0.904905
2020-03-01,JPY,107.700498
2020-03-01,GBP,0.780865
2020-03-01,AUD,1.534715
2020-03-01,CAD,1.34081
2020-03-01,INR,72.175011
2020-03-01,MXN,19.82564
2020-03-01,RUB,67.148501
2020-03-01,CNY,6.991902
2020-03-02,EUR,0.897371
2020-03-02,JPY,108.491005
2020-03-02,GBP,0.783305
2020-03-02,AUD,1.527406
2020-03-02,CAD,1.33263
2020-03-02,INR,72.834989
2020-03-02,MXN,19.419942
2020-03-02,RUB,66.290702
2020-03-02,CNY,7.000802
2020-03-03,EUR,0.894598
2020-03-03,JPY,107.041965
2020-03-03,GBP,0.780025
2020-03-03,AUD,1.51933
2020-03-03,CAD,1.33788
2020-03-03,INR,73.425497
2020-03-03,MXN,19.446599
2020-03-03,RUB,66.214598
2020-03-03,CNY,6.962002
2020-03-04,EUR,0.897785
2020-03-04,JPY,107.682001
2020-03-04,GBP,0.776802
2020-03-04,AUD,1.509058
2020-03-04,CAD,1.338515
2020-03-04,INR,74.052503
2020-03-04,MXN,19.532201
2020-03-04,RUB,66.227038
2020-03-04,CNY,6.966398
2020-03-05,EUR,0.89099
2020-03-05,JPY,106.252502
2020-03-05,GBP,0.772198
2020-03-05,AUD,1.511802
2020-03-05,CAD,1.339435
2020-03-05,INR,73.873596
2020-03-05,MXN,19.8295
2020-03-05,RUB,67.574402
2020-03-05,CNY,6.936951
2020-03-06,EUR,0.886038
2020-03-06,JPY,105.303504
2020-03-06,GBP,0.76638
2020-03-06,AUD,1.505604
2020-03-06,CAD,1.34271
2020-03-06,INR,73.99704
2020-03-06,MXN,20.111904
2020-03-06,RUB,68.543504
2020-03-06,CNY,6.932041
2020-03-07,EUR,0.886014
2020-03-07,JPY,105.31504
2020-03-07,GBP,0.766342
2020-03-07,AUD,1.503704
2020-03-07,CAD,1.34271
2020-03-07,INR,74.005304
2020-03-07,MXN,20.110204
2020-03-07,RUB,68.560373
2020-03-07,CNY,6.931904
2020-03-08,EUR,0.87831
